,,,,,,,,,,,,,
POZO,PEGDA (%),PVA (%),LAP (%),Agua (%),Young Modulus (Kpa),Error Absoluto,Error Relativo (%),Tiempo Sumergido (min),Ratio PVA/PEGDA,Ratio LAP/PEGDA,Ratio Polimero/Agua,DIA ESTUDIO,Altura (mm)
E12,14,3,0.12,82.88,24.344,3.097,12.72,448,0.214,0.009,0.205,2,4.76
F1,20,5,0.11,74.89,150.701,6.786,4.50,455,0.250,0.006,0.334,2,5.4
F2,26,0,0.1,73.9,231.339,9.048,3.91,462,0.000,0.004,0.352,2,5.3
F3,19,8,0.16,72.84,47.79,9.328,19.52,469,0.421,0.008,0.371,2,5.32
F4,29,1,0.19,69.81,1292.534,32.475,2.51,476,0.034,0.007,0.430,2,5.38
F5,24,2,0.07,73.93,493.529,12.428,2.52,483,0.083,0.003,0.352,2,5.4
F6,11,0,0.1,88.9,59.813,10.778,18.02,490,0.000,0.009,0.124,2,5.24
F7,24,2,0.07,73.93,207.653,7.248,3.49,497,0.083,0.003,0.352,2,5.38
F8,13,1,0.18,85.82,136.113,7.916,5.82,504,0.077,0.014,0.163,2,5.28
F9,11,3,0.14,85.86,24.479,2.749,11.23,511,0.273,0.013,0.163,2,4.22
F10,25,2,0.16,72.84,481.523,12.773,2.65,518,0.080,0.006,0.371,2,5.7
F11,25,2,0.16,72.84,327.238,8.962,2.74,525,0.080,0.006,0.371,2,5.74
F12,23,7,0.13,69.87,100.014,8.4,8.40,532,0.304,0.006,0.429,2,5.62
G1,9,1,0.16,89.84,43.179,5.069,11.74,539,0.111,0.018,0.111,2,4.64
G2,9,1,0.16,89.84,31.652,8.263,26.11,546,0.111,0.018,0.111,2,4.64
G3,14,3,0.08,82.92,1.058,3.167,299.34,553,0.214,0.006,0.205,2,4.52
G4,20,7,0.14,72.86,51.985,8.485,16.32,560,0.350,0.007,0.371,2,5.48
G5,23,7,0.13,69.87,103.377,8.388,8.11,567,0.304,0.006,0.429,2,5.3
